,ap_consumer_facing | consumer_engagement | advocacy_media | influencer_management | influencer_management | engagements,ap_consumer_facing | consumer_engagement | paid_media | digital_tv | bvod | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_multiformat_ads_transaction | amazon_retail | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_multiformat_ads_transaction | tesco | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_video_content_platforms | google_video | impressions,ap_consumer_facing | consumer_engagement | paid_media | online_video_content_platforms | youtube | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_awarenessconsideration | google | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | amazon | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | citrus | impressions,ap_consumer_facing | consumer_engagement | paid_media | paid_search_transaction | criteo | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | meta | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | pinterest | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_awarenessconsideration | tik_tok | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | meta | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | meta_collab_ads | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | tesco | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | the_hut_group | impressions,ap_consumer_facing | consumer_engagement | paid_media | social_media_transaction | tik_tok | impressions,ap_consumer_facing | consumer_engagement | paid_media | traditional_tv | linear | grps,ap_consumer_facing | shopper_experience | shopper_experience | testers_and_merchandising | testers_and_merchandising | units,UK L'Oreal Paris Haircare Offline Average Price (in pound),UK L'Oreal Paris Haircare Online Average Price (in pound),UK L'Oreal Paris Haircare Total Weigheted Promotion Distribution (%),UK L'Oreal Paris Haircare Total Offline Sellout Value (in pound),UK L'Oreal Paris Haircare Total Offline Sellout Units,UK L'Oreal Paris Haircare Total Online Sellout Value (in pound),UK L'Oreal Paris Haircare Total Online Sellout Units
2022-01-03,537.2169434971748,0.0,193246.3,0.0,0.0,0.0,4067.7,1468912.9,0.0,156076.7,1289454.4,0.0,0.0,0.0,1507673.7,0.0,0.0,0.0,0.0,330.57142859,2.323821607440973,3.2420713854161822,0.37,1583364.9,681362.5,362750.18,111888.4
2022-01-10,0.0,0.0,343567.9,0.0,0.0,0.0,3716.7,2474498.0,0.0,161675.80000000002,2106572.0,0.0,0.0,0.0,1662391.9,0.0,0.0,0.0,0.0,261.15142859,2.32864869343949,2.978818550981023,0.42,1753588.2,753049.7000000001,385263.71,129334.4
2022-01-17,0.0,0.0,448357.0,0.0,0.0,0.0,4264.0,2691219.7,0.0,408499.0,2869640.8000000003,0.0,0.0,0.0,1781321.1,0.0,0.0,0.0,0.0,340.48857141,2.3782795301725006,3.0140394088669957,0.43,1690696.8,710890.7000000001,359523.06000000006,119282.8
2022-01-24,142432.1215960798,815102.08,626307.5,0.0,0.0,0.0,4633.2,1940061.5,0.0,684980.4,11263612.1,0.0,0.0,0.0,1750936.2,0.0,0.0,0.0,58.63,421.90831423,2.396989008169026,3.077403378537011,0.86,1748572.8,729487.2000000001,357843.85000000003,116281.1
2022-01-31,95869.36941847092,679251.8200000001,619993.4,0.0,0.0,0.0,2134.6,2349322.3000000003,0.0,1074118.5,15033348.2,0.0,0.0,0.0,1959865.7,0.0,0.0,0.0,100.49,513.41048577,2.394614752121192,3.306272315718052,0.78,1768055.9,738346.7000000001,386416.94,116873.9
2022-02-07,114872.70500025,1086802.86,515611.2,0.0,0.0,0.0,1472.9,2473779.1,0.0,209513.2,13953063.8,0.0,0.0,0.0,1600469.0,0.0,0.0,0.0,85.92999999999999,351.9594,2.427983212954124,3.195358402662229,0.72,1752389.6,721747.0,312066.69,97662.5
2022-02-14,38475.998653432674,407551.04,6170598.2,0.0,0.0,1133346.5,1618.5,2374671.0,0.0,166862.80000000002,16139238.7,0.0,0.0,0.0,1353947.4,0.0,0.0,0.0,61.75,282.5394,2.426661300166853,3.1302120646681466,0.72,1669474.3,687971.7000000001,298770.29,95447.3
2022-02-21,13678.871785089255,0.0,10469629.3,0.0,188015.1,4097431.0,2389.4,3484471.9,0.0,140311.6,12280013.2,0.0,0.0,0.0,1381152.5,0.0,0.0,0.0,0.0,387.56194282,2.583091262341833,3.2573526183250467,0.48,1773309.2,686506.6,327903.03,100665.5
2022-02-28,0.0,0.0,2835346.8000000003,0.0,191218.3,2921339.2,3247.4,3222242.4,0.0,741742.3,2750133.1,0.0,0.0,0.0,973674.0,0.0,0.0,0.0,0.0,385.08265718,2.651524325197064,3.460363892506845,0.46,1793337.0,676341.9,338474.11000000004,97814.6
2022-03-07,0.0,0.0,265714.8,0.0,216253.7,2621682.7,18077.8,3304130.7,0.0,1359577.7,0.0,0.0,0.0,0.0,194868.7,0.0,0.0,0.0,0.0,375.95888577000005,2.5113255802556083,3.332250239387169,0.72,1798604.6,716197.3,339298.05,101822.5
